trip_id,subscriber_type,bikeid,start_time,start_station_id,start_station_name,end_station_id,end_station_name,duration_minutes,start_date
21307390,Local365,460,2019-11-26 20:01:19+00:00,3794,Dean Keeton/Speedway ,2563,Rainey/Davis,23,2019-11-26
21306726,Pay-as-you-ride,882,2019-11-26 16:49:37+00:00,4061,Lakeshore/Austin Hostel,2565,6th/Trinity,43,2019-11-26
21306733,Pay-as-you-ride,1830,2019-11-26 16:50:26+00:00,4061,Lakeshore/Austin Hostel,2565,6th/Trinity,42,2019-11-26
21307007,Pay-as-you-ride,1949,2019-11-26 17:53:04+00:00,2566,Electric Drive/Sandra Muraida Way @ Pfluger Ped Bridge,2566,Electric Drive/Sandra Muraida Way @ Pfluger Ped Bridge,29,2019-11-26
21304753,Local365,22,2019-11-26 10:39:16+00:00,2567,Barton Springs/Bouldin @ Palmer Auditorium,2566,Electric Drive/Sandra Muraida Way @ Pfluger Ped Bridge,5,2019-11-26
21307106,Single Trip (Pay-as-you-ride),198,2019-11-26 18:19:54+00:00,2575,Riverside/South Lamar,2566,Electric Drive/Sandra Muraida Way @ Pfluger Ped Bridge,4,2019-11-26
21306205,Single Trip (Pay-as-you-ride),2355,2019-11-26 15:15:59+00:00,3684,Cesar Chavez/Congress,2566,Electric Drive/Sandra Muraida Way @ Pfluger Ped Bridge,93,2019-11-26
21306207,Single Trip (Pay-as-you-ride),963,2019-11-26 15:16:36+00:00,3684,Cesar Chavez/Congress,2566,Electric Drive/Sandra Muraida Way @ Pfluger Ped Bridge,92,2019-11-26
21306212,Single Trip (Pay-as-you-ride),610,2019-11-26 15:17:15+00:00,3684,Cesar Chavez/Congress,2566,Electric Drive/Sandra Muraida Way @ Pfluger Ped Bridge,91,2019-11-26
21306217,Single Trip (Pay-as-you-ride),815,2019-11-26 15:17:52+00:00,3684,Cesar Chavez/Congress,2566,Electric Drive/Sandra Muraida Way @ Pfluger Ped Bridge,91,2019-11-26
21306609,Single Trip (Pay-as-you-ride),3,2019-11-26 16:25:39+00:00,2567,Barton Springs/Bouldin @ Palmer Auditorium,2567,Barton Springs/Bouldin @ Palmer Auditorium,23,2019-11-26
21306620,Single Trip (Pay-as-you-ride),326,2019-11-26 16:27:12+00:00,2567,Barton Springs/Bouldin @ Palmer Auditorium,2567,Barton Springs/Bouldin @ Palmer Auditorium,20,2019-11-26
21304578,Local365,22,2019-11-26 09:44:19+00:00,2544,East 6th/Pedernales,2567,Barton Springs/Bouldin @ Palmer Auditorium,16,2019-11-26
21307739,Single Trip (Pay-as-you-ride),352,2019-11-26 22:45:33+00:00,2568,East 11th/Victory Grill,2571,8th/Red River,5,2019-11-26
21306752,Local365,640,2019-11-26 16:53:36+00:00,2572,Barton Springs Pool,2572,Barton Springs Pool,2,2019-11-26
21306762,Local365,640,2019-11-26 16:55:59+00:00,2572,Barton Springs Pool,2572,Barton Springs Pool,2,2019-11-26
21304580,24 Hour Walk Up Pass,861,2019-11-26 09:44:22+00:00,2574,Zilker Park,2574,Zilker Park,1829,2019-11-26
21304560,24 Hour Walk Up Pass,873,2019-11-26 09:38:25+00:00,3686,Sterzing/Barton Springs,2574,Zilker Park,4,2019-11-26
21307122,Single Trip (Pay-as-you-ride),815,2019-11-26 18:23:54+00:00,2566,Electric Drive/Sandra Muraida Way @ Pfluger Ped Bridge,2575,Riverside/South Lamar,18,2019-11-26
21305503,Single Trip (Pay-as-you-ride),198,2019-11-26 13:10:17+00:00,2575,Riverside/South Lamar,2575,Riverside/South Lamar,3,2019-11-26
21307272,Local365,229G,2019-11-26 19:17:22+00:00,2575,Riverside/South Lamar,2575,Riverside/South Lamar,1,2019-11-26
21307275,Local365,815,2019-11-26 19:18:48+00:00,2575,Riverside/South Lamar,2575,Riverside/South Lamar,13,2019-11-26
21305846,Single Trip (Pay-as-you-ride),3541,2019-11-26 14:10:13+00:00,2575,Riverside/South Lamar,2575,Riverside/South Lamar,102,2019-11-26
21305505,24 Hour Walk Up Pass,430,2019-11-26 13:11:37+00:00,2575,Riverside/South Lamar,2575,Riverside/South Lamar,3,2019-11-26
21307102,Single Trip (Pay-as-you-ride),1555,2019-11-26 18:19:17+00:00,2575,Riverside/South Lamar,2575,Riverside/South Lamar,22,2019-11-26
21304671,24 Hour Walk Up Pass,963,2019-11-26 10:13:06+00:00,3684,Cesar Chavez/Congress,2575,Riverside/South Lamar,31,2019-11-26
21304665,24 Hour Walk Up Pass,12802,2019-11-26 10:11:24+00:00,3684,Cesar Chavez/Congress,2575,Riverside/South Lamar,29,2019-11-26
21304669,24 Hour Walk Up Pass,610,2019-11-26 10:12:23+00:00,3684,Cesar Chavez/Congress,2575,Riverside/South Lamar,30,2019-11-26
21305129,24 Hour Walk Up Pass,869,2019-11-26 11:58:37+00:00,2707,Rainey/Cummings,2575,Riverside/South Lamar,104,2019-11-26
21305132,24 Hour Walk Up Pass,551,2019-11-26 11:59:29+00:00,2707,Rainey/Cummings,2575,Riverside/South Lamar,104,2019-11-26
21305152,24 Hour Walk Up Pass,362,2019-11-26 12:04:15+00:00,2707,Rainey/Cummings,2575,Riverside/South Lamar,98,2019-11-26
21304699,24 Hour Walk Up Pass,646,2019-11-26 10:23:59+00:00,2549,South 1st/Riverside @ Long Center,2575,Riverside/South Lamar,22,2019-11-26
21304701,24 Hour Walk Up Pass,815,2019-11-26 10:24:55+00:00,2549,South 1st/Riverside @ Long Center,2575,Riverside/South Lamar,22,2019-11-26
21305946,Single Trip (Pay-as-you-ride),220,2019-11-26 14:24:28+00:00,3687,Boardwalk West,2707,Rainey/Cummings,45,2019-11-26
21305940,Single Trip (Pay-as-you-ride),432,2019-11-26 14:23:27+00:00,3687,Boardwalk West,2707,Rainey/Cummings,46,2019-11-26
21305954,Single Trip (Pay-as-you-ride),871,2019-11-26 14:26:05+00:00,3687,Boardwalk West,2707,Rainey/Cummings,43,2019-11-26
21304191,Local365,1434,2019-11-26 07:36:08+00:00,2563,Rainey/Davis,3390,6th/Brazos,6,2019-11-26
21306780,Pay-as-you-ride,2274,2019-11-26 16:59:44+00:00,2572,Barton Springs Pool,3513,South Congress/Barton Springs @ The Austin American-Statesman,56,2019-11-26
21306779,Local365,640,2019-11-26 16:59:38+00:00,2572,Barton Springs Pool,3513,South Congress/Barton Springs @ The Austin American-Statesman,56,2019-11-26
21306982,Local365,1277,2019-11-26 17:48:13+00:00,2542,Plaza Saltillo,3513,South Congress/Barton Springs @ The Austin American-Statesman,13,2019-11-26
21306979,Local365,864,2019-11-26 17:48:08+00:00,2542,Plaza Saltillo,3513,South Congress/Barton Springs @ The Austin American-Statesman,13,2019-11-26
21305109,Local365,64,2019-11-26 11:55:44+00:00,2501,5th/Bowie,3619,6th/Congress,7,2019-11-26
21306921,Local30,663,2019-11-26 17:30:47+00:00,2552,3rd/West,3619,6th/Congress,9,2019-11-26
21305195,Local365,64,2019-11-26 12:11:02+00:00,3619,6th/Congress,3621,3rd/Nueces,3,2019-11-26
21305217,Local365,503,2019-11-26 12:13:51+00:00,2494,2nd/Congress,3621,3rd/Nueces,5,2019-11-26
21305539,Local365,135,2019-11-26 13:18:44+00:00,2495,4th/Congress,3621,3rd/Nueces,6,2019-11-26
21306002,Local365,860,2019-11-26 14:36:01+00:00,2501,5th/Bowie,3621,3rd/Nueces,4,2019-11-26
21304793,24 Hour Walk Up Pass,815,2019-11-26 10:46:34+00:00,2575,Riverside/South Lamar,3684,Cesar Chavez/Congress,69,2019-11-26
21304775,24 Hour Walk Up Pass,2355,2019-11-26 10:42:28+00:00,2575,Riverside/South Lamar,3684,Cesar Chavez/Congress,73,2019-11-26
21304789,24 Hour Walk Up Pass,646,2019-11-26 10:45:49+00:00,2575,Riverside/South Lamar,3684,Cesar Chavez/Congress,70,2019-11-26
21304783,24 Hour Walk Up Pass,610,2019-11-26 10:43:58+00:00,2575,Riverside/South Lamar,3684,Cesar Chavez/Congress,72,2019-11-26
21304786,24 Hour Walk Up Pass,963,2019-11-26 10:44:45+00:00,2575,Riverside/South Lamar,3684,Cesar Chavez/Congress,72,2019-11-26
21304799,24 Hour Walk Up Pass,315,2019-11-26 10:49:00+00:00,2574,Zilker Park,3686,Sterzing/Barton Springs,2,2019-11-26
21305254,24 Hour Walk Up Pass,461,2019-11-26 12:20:21+00:00,3513,South Congress/Barton Springs @ The Austin American-Statesman,3686,Sterzing/Barton Springs,27,2019-11-26
21305241,24 Hour Walk Up Pass,479,2019-11-26 12:18:25+00:00,3513,South Congress/Barton Springs @ The Austin American-Statesman,3686,Sterzing/Barton Springs,29,2019-11-26
21306944,U.T. Student Membership,040G,2019-11-26 17:39:04+00:00,3841,23rd/Rio Grande,3792,22nd/Pearl,2,2019-11-26
21306314,Local365,088G,2019-11-26 15:36:42+00:00,3793,28th/Rio Grande,3793,28th/Rio Grande,6,2019-11-26
21304374,U.T. Student Membership,621,2019-11-26 08:46:45+00:00,3793,28th/Rio Grande,3793,28th/Rio Grande,1,2019-11-26
21304501,Local365,936,2019-11-26 09:21:47+00:00,3795,Dean Keeton/Whitis,3793,28th/Rio Grande,5,2019-11-26
21304508,U.T. Student Membership,113G,2019-11-26 09:23:02+00:00,3797,21st/University,3793,28th/Rio Grande,11,2019-11-26
21305514,U.T. Student Membership,057G,2019-11-26 13:13:00+00:00,3798,21st/Speedway @ PCL,3793,28th/Rio Grande,9,2019-11-26
21306776,Local365,388,2019-11-26 16:58:47+00:00,3798,21st/Speedway @ PCL,3793,28th/Rio Grande,11,2019-11-26
21305747,Local365,115,2019-11-26 13:56:17+00:00,2547,21st/Guadalupe,3793,28th/Rio Grande,8,2019-11-26
21305122,U.T. Student Membership,2887,2019-11-26 11:57:46+00:00,2548,Guadalupe/West Mall @ University Co-op,3793,28th/Rio Grande,4,2019-11-26
21307581,Local365,460,2019-11-26 21:19:26+00:00,3841,23rd/Rio Grande,3794,Dean Keeton/Speedway ,4,2019-11-26
21304541,Local365,544,2019-11-26 09:30:42+00:00,3794,Dean Keeton/Speedway ,3794,Dean Keeton/Speedway ,1,2019-11-26
21307203,Local365,460,2019-11-26 18:58:26+00:00,3794,Dean Keeton/Speedway ,3794,Dean Keeton/Speedway ,25,2019-11-26
21304825,Local365,400,2019-11-26 10:51:32+00:00,3798,21st/Speedway @ PCL,3794,Dean Keeton/Speedway ,4,2019-11-26
21305842,Local365,936,2019-11-26 14:09:56+00:00,3798,21st/Speedway @ PCL,3794,Dean Keeton/Speedway ,4,2019-11-26
21305668,U.T. Student Membership,854,2019-11-26 13:41:32+00:00,3798,21st/Speedway @ PCL,3794,Dean Keeton/Speedway ,31,2019-11-26
21307173,Local365,460,2019-11-26 18:49:19+00:00,2547,21st/Guadalupe,3794,Dean Keeton/Speedway ,9,2019-11-26
21305203,U.T. Student Membership,400,2019-11-26 12:12:27+00:00,3838,26th/Nueces,3794,Dean Keeton/Speedway ,120,2019-11-26
21305721,U.T. Student Membership,156,2019-11-26 13:50:43+00:00,3841,23rd/Rio Grande,3795,Dean Keeton/Whitis,4,2019-11-26
21304839,U.T. Student Membership,382,2019-11-26 10:55:04+00:00,3792,22nd/Pearl,3795,Dean Keeton/Whitis,5,2019-11-26
21307773,U.T. Student Membership,2288,2019-11-26 23:20:08+00:00,3798,21st/Speedway @ PCL,3795,Dean Keeton/Whitis,6,2019-11-26
21307334,Local365,4,2019-11-26 19:37:05+00:00,3798,21st/Speedway @ PCL,3795,Dean Keeton/Whitis,5,2019-11-26
21305627,Local365,2722,2019-11-26 13:33:15+00:00,3799,23rd/San Jacinto @ DKR Stadium,3795,Dean Keeton/Whitis,4,2019-11-26
